City	State	ST	County	ShapeID	AreaSqMiles	Population	Territory
Worcester	Massachusetts	MA	Worcester	217	2.13	23,964	Terr 1
Cherry Valley	Massachusetts	MA	Worcester	218	3.69	2,481	Terr 1
Paxton	Massachusetts	MA	Worcester	219	16.07	4,856	Terr 1
Framingham	Massachusetts	MA	Middlesex	220	17.65	31,435	Terr 1
Framingham	Massachusetts	MA	Middlesex	221	8.85	38,020	Terr 1
Village Of Nagog Woods	Massachusetts	MA	Middlesex	222	0.05	343	Terr 1
Boxborough	Massachusetts	MA	Middlesex	223	10.39	5,048	Terr 1
Acton	Massachusetts	MA	Middlesex	224	20.15	21,804	Terr 1
Ashland	Massachusetts	MA	Middlesex	225	12.86	16,792	Terr 1
Bedford	Massachusetts	MA	Middlesex	226	13.89	13,649	Terr 1
Hanscom Afb	Massachusetts	MA	Middlesex	227	0.79	1,717	Terr 1
Bolton	Massachusetts	MA	Worcester	228	20.08	4,967	Terr 1
Carlisle	Massachusetts	MA	Middlesex	229	15.52	4,918	Terr 1
Concord	Massachusetts	MA	Middlesex	230	25.73	18,586	Terr 1
Fayville	Massachusetts	MA	Worcester	231	0.40	305	Terr 1
Holliston	Massachusetts	MA	Middlesex	232	19.07	13,811	Terr 1
Hopedale	Massachusetts	MA	Worcester	233	5.36	5,928	Terr 1
Hopkinton	Massachusetts	MA	Middlesex	234	27.87	15,271	Terr 1
Hudson	Massachusetts	MA	Middlesex	235	11.83	19,263	Terr 1
Marlborough	Massachusetts	MA	Middlesex	236	22.15	38,842	Terr 1
Maynard	Massachusetts	MA	Middlesex	237	5.37	10,211	Terr 1
Mendon	Massachusetts	MA	Worcester	238	18.02	5,851	Terr 1
Milford	Massachusetts	MA	Worcester	239	15.14	28,252	Terr 1
Natick	Massachusetts	MA	Middlesex	240	15.82	33,353	Terr 1
Sherborn	Massachusetts	MA	Middlesex	241	16.18	4,169	Terr 1
Southborough	Massachusetts	MA	Worcester	242	15.12	9,502	Terr 1
Lincoln	Massachusetts	MA	Middlesex	243	14.39	4,836	Terr 1
Stow	Massachusetts	MA	Middlesex	244	17.99	6,737	Terr 1
Sudbury	Massachusetts	MA	Middlesex	245	24.75	17,922	Terr 1
Wayland	Massachusetts	MA	Middlesex	246	16.00	13,280	Terr 1
Woburn	Massachusetts	MA	Middlesex	247	12.96	38,961	Terr 1
Burlington	Massachusetts	MA	Middlesex	248	11.82	24,700	Terr 1
Andover	Massachusetts	MA	Essex	249	32.12	33,746	Terr 1
Billerica	Massachusetts	MA	Middlesex	250	16.97	30,591	Terr 1
Chelmsford	Massachusetts	MA	Middlesex	251	18.14	24,673	Terr 1
Dracut	Massachusetts	MA	Middlesex	252	21.29	29,968	Terr 1
Dunstable	Massachusetts	MA	Middlesex	253	16.74	3,255	Terr 1
Haverhill	Massachusetts	MA	Essex	254	15.11	25,687	Terr 1
Haverhill	Massachusetts	MA	Essex	255	11.81	22,121	Terr 1
Georgetown	Massachusetts	MA	Essex	256	13.17	8,295	Terr 1
Groveland	Massachusetts	MA	Essex	257	9.40	6,675	Terr 1
Haverhill	Massachusetts	MA	Essex	258	8.70	13,527	Terr 1
Lawrence	Massachusetts	MA	Essex	259	0.58	4,547	Terr 1
Lawrence	Massachusetts	MA	Essex	260	3.26	47,676	Terr 1
Lawrence	Massachusetts	MA	Essex	261	3.60	24,597	Terr 1
Methuen	Massachusetts	MA	Essex	262	23.02	47,690	Terr 1
North Andover	Massachusetts	MA	Essex	263	27.73	28,677	Terr 1
Lowell	Massachusetts	MA	Middlesex	264	1.48	15,496	Terr 1
Lowell	Massachusetts	MA	Middlesex	265	3.40	29,791	Terr 1
Lowell	Massachusetts	MA	Middlesex	266	5.19	33,106	Terr 1
Lowell	Massachusetts	MA	Middlesex	267	4.46	29,073	Terr 1
Merrimac	Massachusetts	MA	Essex	268	8.82	6,440	Terr 1
North Billerica	Massachusetts	MA	Middlesex	269	9.64	10,992	Terr 1
North Chelmsford	Massachusetts	MA	Middlesex	270	4.96	9,526	Terr 1
North Reading	Massachusetts	MA	Middlesex	271	13.52	15,076	Terr 1
Reading	Massachusetts	MA	Middlesex	272	9.95	24,524	Terr 1
Tewksbury	Massachusetts	MA	Middlesex	273	20.86	28,778	Terr 1
Tyngsboro	Massachusetts	MA	Middlesex	274	18.18	11,675	Terr 1
Wakefield	Massachusetts	MA	Middlesex	275	7.45	25,116	Terr 1
Westford	Massachusetts	MA	Middlesex	276	31.38	22,458	Terr 1
Wilmington	Massachusetts	MA	Middlesex	277	17.14	22,656	Terr 1
Winchester	Massachusetts	MA	Middlesex	278	6.35	21,621	Terr 1
Lynn	Massachusetts	MA	Essex	279	0.28	2,023	Terr 1
Lynn	Massachusetts	MA	Essex	280	2.51	44,827	Terr 1
Lynn	Massachusetts	MA	Essex	281	5.02	18,803	Terr 1
Lynn	Massachusetts	MA	Essex	282	4.02	25,090	Terr 1
Saugus	Massachusetts	MA	Essex	283	11.80	27,051	Terr 1
Swampscott	Massachusetts	MA	Essex	284	3.45	14,086	Terr 1
Nahant	Massachusetts	MA	Essex	285	2.42	3,432	Terr 1
Amesbury	Massachusetts	MA	Essex	286	13.74	16,429	Terr 1
Beverly	Massachusetts	MA	Essex	287	16.68	40,026	Terr 1
Boxford	Massachusetts	MA	Essex	288	24.39	8,040	Terr 1
Byfield	Massachusetts	MA	Essex	289	9.86	3,025	Terr 1
Danvers	Massachusetts	MA	Essex	290	14.13	26,810	Terr 1
Essex	Massachusetts	MA	Essex	291	15.98	3,546	Terr 1
Gloucester	Massachusetts	MA	Essex	292	31.59	29,043	Terr 1
Hathorne	Massachusetts	MA	Essex	293	0.07	89	Terr 1
Ipswich	Massachusetts	MA	Essex	294	35.79	13,354	Terr 1
Lynnfield	Massachusetts	MA	Essex	295	11.19	12,299	Terr 1
Manchester	Massachusetts	MA	Essex	296	10.44	5,185	Terr 1
Marblehead	Massachusetts	MA	Essex	297	7.68	19,958	Terr 1
Middleton	Massachusetts	MA	Essex	298	14.47	9,131	Terr 1
Newburyport	Massachusetts	MA	Essex	299	10.69	17,569	Terr 1
Newbury	Massachusetts	MA	Essex	300	16.39	3,707	Terr 1
Salisbury	Massachusetts	MA	Essex	301	17.76	8,396	Terr 1
Peabody	Massachusetts	MA	Essex	302	16.58	51,319	Terr 1
Rockport	Massachusetts	MA	Essex	303	8.59	7,040	Terr 1
Rowley	Massachusetts	MA	Essex	304	19.19	5,914	Terr 1
Salem	Massachusetts	MA	Essex	305	13.59	41,747	Terr 1
South Hamilton	Massachusetts	MA	Essex	306	14.89	7,995	Terr 1
Topsfield	Massachusetts	MA	Essex	307	12.83	6,211	Terr 1
Wenham	Massachusetts	MA	Essex	308	8.11	4,964	Terr 1
West Newbury	Massachusetts	MA	Essex	309	14.73	4,305	Terr 1
ZCTA 019XX	Massachusetts	MA	Essex	310	2.15	0	Terr 1
ZCTA 019XX_02	Massachusetts	MA	Essex	311	1.01	0	Terr 1
Bellingham	Massachusetts	MA	Norfolk	312	18.89	16,438	Terr 1
Canton	Massachusetts	MA	Norfolk	313	19.58	21,781	Terr 1
Cohasset	Massachusetts	MA	Norfolk	314	10.86	7,935	Terr 1
Dedham	Massachusetts	MA	Norfolk	315	10.64	24,906	Terr 1
Dover	Massachusetts	MA	Norfolk	316	15.45	5,677	Terr 1
East Walpole	Massachusetts	MA	Norfolk	317	2.40	3,884	Terr 1
Foxboro	Massachusetts	MA	Norfolk	318	20.85	16,990	Terr 1
Franklin	Massachusetts	MA	Norfolk	319	27.02	32,064	Terr 1
Hingham	Massachusetts	MA	Plymouth	320	23.03	22,330	Terr 1
Hull	Massachusetts	MA	Plymouth	321	8.19	10,319	Terr 1
Humarock	Massachusetts	MA	Plymouth	322	0.24	111	Terr 1
Mansfield	Massachusetts	MA	Bristol	323	20.40	23,293	Terr 1
Marshfield	Massachusetts	MA	Plymouth	324	33.30	25,647	Terr 1
Medfield	Massachusetts	MA	Norfolk	325	14.63	12,136	Terr 1
Medway	Massachusetts	MA	Norfolk	326	11.68	12,866	Terr 1
Millis	Massachusetts	MA	Norfolk	327	12.24	7,950	Terr 1
Norfolk	Massachusetts	MA	Norfolk	328	15.39	11,274	Terr 1
Norwell	Massachusetts	MA	Plymouth	329	21.23	10,560	Terr 1
Norwood	Massachusetts	MA	Norfolk	330	10.51	28,698	Terr 1
Scituate	Massachusetts	MA	Plymouth	331	19.11	17,730	Terr 1
Sharon	Massachusetts	MA	Norfolk	332	23.60	17,591	Terr 1
South Walpole	Massachusetts	MA	Norfolk	333	0.98	1,770	Terr 1
Stoughton	Massachusetts	MA	Norfolk	334	16.46	27,522	Terr 1
Walpole	Massachusetts	MA	Norfolk	335	18.48	19,006	Terr 1
Westwood	Massachusetts	MA	Norfolk	336	11.21	14,714	Terr 1
Wrentham	Massachusetts	MA	Norfolk	337	22.68	11,058	Terr 1
ZCTA 020XX	Massachusetts	MA	Plymouth	338	1.12	0	Terr 1
ZCTA 020XX_02	Massachusetts	MA	Plymouth	339	0.99	0	Terr 1
ZCTA 020XX_03	Massachusetts	MA	Plymouth	340	0.78	0	Terr 1
ZCTA 020XX_04	Massachusetts	MA	Plymouth	341	0.77	0	Terr 1
Boston	Massachusetts	MA	Suffolk	342	0.13	4,062	Terr 1
Boston	Massachusetts	MA	Suffolk	343	0.28	4,241	Terr 1
Boston	Massachusetts	MA	Suffolk	344	0.28	1,752	Terr 1
Boston	Massachusetts	MA	Suffolk	345	0.27	7,771	Terr 1
Boston	Massachusetts	MA	Suffolk	346	0.10	6,843	Terr 1
Boston	Massachusetts	MA	Suffolk	347	0.57	11,994	Terr 1
Boston	Massachusetts	MA	Suffolk	348	0.74	28,928	Terr 1
Boston	Massachusetts	MA	Suffolk	349	0.74	21,793	Terr 1
Boston	Massachusetts	MA	Suffolk	350	1.11	27,873	Terr 1
